Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

C1_14      SMD_0603_CAPC1608X80N      -76.25mm       28.05mm      -76.25mm       28.05mm      -76.25mm       28.85mm  T        270.00 470nF          
C1_15      SMD_0603_CAPC1608X80N      -76.25mm       48.05mm      -76.25mm       48.05mm      -76.25mm       48.85mm  T        270.00 470nF          
C1_16      SMD_0603_CAPC1608X80N      -76.25mm       68.05mm      -76.25mm       68.05mm      -76.25mm       68.85mm  T        270.00 470nF          
C2_1       SMD_0603_CAPC1608X80N      -18.25mm          82mm      -18.25mm          82mm      -18.25mm        81.2mm  T         90.00 470nF          
C2_2       SMD_0603_CAPC1608X80N      -18.25mm       61.95mm      -18.25mm       61.95mm      -18.25mm       61.15mm  T         90.00 470nF          
C2_3       SMD_0603_CAPC1608X80N      -18.25mm       41.95mm      -18.25mm       41.95mm      -18.25mm       41.15mm  T         90.00 470nF          
C2_4       SMD_0603_CAPC1608X80N      -18.25mm       21.95mm      -18.25mm       21.95mm      -18.25mm       21.15mm  T         90.00 470nF          
C2_5       SMD_0603_CAPC1608X80N      -31.75mm        8.05mm      -31.75mm        8.05mm      -31.75mm        8.85mm  T        270.00 470nF          
C2_6       SMD_0603_CAPC1608X80N      -31.75mm       28.05mm      -31.75mm       28.05mm      -31.75mm       28.85mm  T        270.00 470nF          
C2_7       SMD_0603_CAPC1608X80N      -31.75mm       48.05mm      -31.75mm       48.05mm      -31.75mm       48.85mm  T        270.00 470nF          
C2_8       SMD_0603_CAPC1608X80N      -31.75mm       68.05mm      -31.75mm       68.05mm      -31.75mm       68.85mm  T        270.00 470nF          
C2_9       SMD_0603_CAPC1608X80N      -58.25mm       81.95mm      -58.25mm       81.95mm      -58.25mm       81.15mm  T         90.00 470nF          
C2_10      SMD_0603_CAPC1608X80N      -58.25mm       61.95mm      -58.25mm       61.95mm      -58.25mm       61.15mm  T         90.00 470nF          
C2_11      SMD_0603_CAPC1608X80N      -58.25mm       41.95mm      -58.25mm       41.95mm      -58.25mm       41.15mm  T         90.00 470nF          
C2_12      SMD_0603_CAPC1608X80N      -58.25mm       21.95mm      -58.25mm       21.95mm      -58.25mm       21.15mm  T         90.00 470nF          
C2_13      SMD_0603_CAPC1608X80N      -71.75mm        8.05mm      -71.75mm        8.05mm      -71.75mm        8.85mm  T        270.00 470nF          
C2_14      SMD_0603_CAPC1608X80N      -71.75mm       28.05mm      -71.75mm       28.05mm      -71.75mm       28.85mm  T        270.00 470nF          
C2_15      SMD_0603_CAPC1608X80N      -71.75mm       48.05mm      -71.75mm       48.05mm      -71.75mm       48.85mm  T        270.00 470nF          
C2_16      SMD_0603_CAPC1608X80N      -71.75mm       68.05mm      -71.75mm       68.05mm      -71.75mm       68.85mm  T        270.00 470nF          
C3_1       SMD_0603_CAPC1608X80N      -21.05mm       78.55mm      -21.05mm       78.55mm      -21.05mm       77.75mm  T         90.00 470nF          
C3_2       SMD_0603_CAPC1608X80N         -21mm       58.55mm         -21mm       58.55mm         -21mm       57.75mm  T         90.00 470nF          
C3_3       SMD_0603_CAPC1608X80N      -21.05mm       38.55mm      -21.05mm       38.55mm      -21.05mm       37.75mm  T         90.00 470nF          
C3_4       SMD_0603_CAPC1608X80N      -21.05mm       18.55mm      -21.05mm       18.55mm      -21.05mm       17.75mm  T         90.00 470nF          
C3_5       SMD_0603_CAPC1608X80N      -28.95mm       11.45mm      -28.95mm       11.45mm      -28.95mm       12.25mm  T        270.00 470nF          
C3_6       SMD_0603_CAPC1608X80N      -28.95mm       31.45mm      -28.95mm       31.45mm      -28.95mm       32.25mm  T        270.00 470nF          
C3_7       SMD_0603_CAPC1608X80N      -28.95mm       51.45mm      -28.95mm       51.45mm      -28.95mm       52.25mm  T        270.00 470nF          
C3_8       SMD_0603_CAPC1608X80N      -28.95mm       71.45mm      -28.95mm       71.45mm      -28.95mm       72.25mm  T        270.00 470nF          
C3_9       SMD_0603_CAPC1608X80N      -61.05mm       78.55mm      -61.05mm       78.55mm      -61.05mm       77.75mm  T         90.00 470nF          
C3_10      SMD_0603_CAPC1608X80N      -61.05mm       58.55mm      -61.05mm       58.55mm      -61.05mm       57.75mm  T         90.00 470nF          
